date,avg_temp,temperature_2m_min,temperature_2m_max,weathercode
2024-01-01,24.85,21.8,27.9,51
2024-01-02,26.4,23.0,29.8,51
2024-01-03,26.7,23.2,30.2,63
2024-01-04,26.15,23.5,28.8,61
2024-01-05,25.65,23.2,28.1,51
2024-01-06,26.0,23.2,28.8,51
2024-01-07,26.2,21.4,31.0,3
2024-01-08,28.75,22.7,34.8,1
2024-01-09,30.05,25.0,35.1,51
2024-01-10,29.8,24.4,35.2,53
2024-01-11,30.85,24.5,37.2,63
2024-01-12,29.950000000000003,25.3,34.6,63
2024-01-13,26.25,24.1,28.4,63
2024-01-14,25.35,23.4,27.3,63
2024-01-15,28.95,23.1,34.8,2
2024-01-16,31.0,24.9,37.1,53
2024-01-17,32.35,26.7,38.0,55
2024-01-18,29.450000000000003,26.3,32.6,53
2024-01-19,28.6,25.9,31.3,63
2024-01-20,30.1,25.3,34.9,65
2024-01-21,26.5,23.6,29.4,63
2024-01-22,25.65,23.6,27.7,53
2024-01-23,22.7,20.0,25.4,63
2024-01-24,22.0,19.3,24.7,63
2024-01-25,24.299999999999997,21.9,26.7,53
2024-01-26,24.1,22.6,25.6,55
2024-01-27,25.25,22.9,27.6,55
2024-01-28,25.9,23.1,28.7,63
2024-01-29,26.1,22.5,29.7,51
2024-01-30,27.049999999999997,22.7,31.4,51
2024-01-31,27.3,24.1,30.5,61
2024-02-01,26.25,23.1,29.4,61
2024-02-02,25.4,23.5,27.3,53
2024-02-03,26.700000000000003,22.8,30.6,2
2024-02-04,27.6,23.9,31.3,53
2024-02-05,27.75,23.6,31.9,3
2024-02-06,27.1,23.9,30.3,1
2024-02-07,26.9,22.7,31.1,51
2024-02-08,27.5,23.6,31.4,51
2024-02-09,27.65,22.8,32.5,53
2024-02-10,27.75,21.9,33.6,53
2024-02-11,29.2,23.4,35.0,51
2024-02-12,30.8,25.0,36.6,1
2024-02-13,31.15,24.8,37.5,51
2024-02-14,28.95,25.1,32.8,53
2024-02-15,25.8,23.8,27.8,63
2024-02-16,25.65,23.0,28.3,51
2024-02-17,26.05,23.3,28.8,51
2024-02-18,27.2,24.0,30.4,51
2024-02-19,26.65,22.9,30.4,53
2024-02-20,26.4,23.0,29.8,63
2024-02-21,26.700000000000003,23.6,29.8,65
2024-02-22,28.1,24.0,32.2,51
2024-02-23,29.1,25.2,33.0,51
2024-02-24,30.1,25.5,34.7,51
2024-02-25,28.450000000000003,25.1,31.8,51
2024-02-26,27.15,24.9,29.4,55
2024-02-27,27.8,24.0,31.6,51
2024-02-28,29.75,24.9,34.6,51
2024-02-29,28.35,25.2,31.5,63
2024-03-01,27.95,24.5,31.4,63
2024-03-02,25.950000000000003,22.8,29.1,51
2024-03-03,25.85,19.9,31.8,0
2024-03-04,26.75,19.7,33.8,0
2024-03-05,28.75,22.5,35.0,63
2024-03-06,26.5,24.2,28.8,65
